,sentence,sentiment,disgust,shame,sadness,anger,fear,joy,guilt,disgust_2,shame_2,sadness_2,anger_2,fear_2,joy_2,guilt_2
2261,"When going for my driver's licence for the third time, because á
everything, it seemed, hinged on getting it. I was really nervous, á
and the testing Officer made me a little afraid as well. There á
were lots of things to worry about. I passed however.",fear,0,0,1,0,3,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2262,"When a so-called friend let me down, when she promised to tell me á
when a certain concert was occurring, and that she'd get me á
tickets. I was really looking forward to it. She did nothing, á
just told me out of the blue one day what a fantastic concert it á
was going to be.",anger,0,0,1,0,0,1,0,0.0,0.0,0.9565217391304348,0.043478260869565216,0.0,0.0,0.0
2263,"When my family heard that my Mother's cousin who lives in á
England wrote us to tell that he had cancer of the lymph glands.",sadness,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2264,"When I found out how the people of Ethiopia were starving and á
their government was spending millions on celebrating being in á
power so many years. Then I saw all these people on TV needing á
food, etc.",disgust,0,0,0,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2265,"I went to visit Montrose home for crippled children to interview á
a handicapped child. I interviewed two boys and it went really á
well. I promised I would visit them, but never got the time. Now I á
hope they've forgotten me, but I feel ashamed of letting them á
down.",shame,1,0,3,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2266,"I was driving my parents' car into a carpark in front of a shop á
we own, and scraped the corner of the front panel on the back á
corner of my father's utility. I didn't tell anyone, I lied about á
the bump (later I had to confess).",guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2267,"Two years ago, somebody I like very much wanted to give up his á
studies. I tried to make him understand the importance of what he á
was going to do, not only of the difficulty to find a job but also á
because he will decrease his culture etc. This person made the á
test to the college entrance examination and to our great joy we á
found out that he succeded in entering at the University.",joy,0,0,1,1,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2268,"One night, when I got out from the University I saw two strange á
people near my car. When I got near, they moved away, and then á
came close again. I had a feeling that they were assaulters. á
After I left I discovered that the windshield was broken.",fear,1,0,2,2,2,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2269,"One day in a crossroad somebody crashed my car. I got out and á
this person laughed at me. I felt such a great anger that I got á
in my car and went away.",anger,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270,"I don't know why suddenly I thought that what I was feeling for á
my boyfriend was not really love. After almost three years being á
together, this matter of fact shaked me and I felt a great sorrow á
that I can call sadness.",sadness,1,0,3,1,2,2,0,0.0,0.28,0.0,0.24,0.24,0.24,0.0
2271,"Returning home in the late afternoon I saw an indecent act made á
by a man with the purpose that I saw it.",disgust,1,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2272,"In a school parting we agreed to go to a restaurant. á
We met at school and we separated us in several cars. My car á
broke and we arrived late. All those who already had arrived á
stand up and applauded us when we entered two hours late. á
All the restaurant attention was turned on us.",shame,0,0,4,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2273,"When I was a little girl about eight years old I broke the bey á
from a closed. Mother asked who did it. I said that it wasn't me, as á
I almost never lied, and my brother did it more frequently in á
spite my brother denieing it my mother gave him a few slaps.",guilt,0,0,2,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2274,When I entered at the University.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2275,"One night I and my friends went to the cemetery. We stopped the á
car in front of the wall and suddenly the grave digger appeared á
over the wall looking like a ghost. I was already afraid and á
almost died.",fear,0,0,2,0,4,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2276,"When one teacher unjustly gave me zero in a test saying that I á
was cribbing.",anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2277,When my grandmother died.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278,"I went to a restaurant with my boyfriend for dinner. There we saw á
a couple. the man of the couple was a negro and he hadn't manners á
for eat.",disgust,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2279,"When the teacher asked me to read my composition that was the á
homework I stood up and invented one because I hadn't done it. A á
colleague saw that in my copy book there was nothing written and á
he accused me and so I was called in the director's room.",shame,0,0,0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2280,When I took away my best friend's boyfriend.,guilt,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2281,"When in the end of a semester I got the approval in a matter that á
I judged very difficult.",joy,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2282,"Crossing a street of several ways the cars began to move and I á
thought that I was going to be trampled.",fear,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2283,"I went to the school library and asked for a book, but the á
librarian told me that there wasn't such. However when an other á
colleague asked for it she gave it to him.",anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2284,"Some colleagues decided to go out on a Saturday not inviting me á
to decide either the place nor the time.",sadness,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2285,"A teacher giving a test was called by a student by his first á
name. He (the teacher) said that he didn't give him this liberty.",disgust,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2286,One day in the intimity with my girlfriend I had an ejaculation.,shame,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2287,When I answered to my mother with rudeness.,guilt,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2288,"The situation in which I felt happiest in my life was when á
I was with the person I love for the first time.",joy,0,0,0,0,0,1,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2289,Fear of thief.,fear,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290,I feel anger when somebody forbids me to do something.,anger,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2291,I felt sad when I was despised by another person.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2292,I felt disgust of dirty.,disgust,2,0,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2293,Shame of not doing something well.,shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2294,I felt guilty when I couldn't help a person.,guilt,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2295,"When I got through the examination for my driver licence, and á
when I finished I knew I had passed it.",joy,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2296,"I was inside the car with my husband and we were assaulted with a á
gun at 10 o'clock in the evening.",fear,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2297,When they changed my office to another room without my agreement.,anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298,"I couldn't sleep, and began to remind of my childhood. We are many á
sisters and at that time we were spanked a lot and I don't know á
why I started to remind of the spanks they and I had had, their á
shouts when this happened.",sadness,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2299,"When I red a report in the magazine VESA about an Iranian telling á
what she had lived in the prisons in Iran. I felt disgust about á
that people.",disgust,1,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,I made a comment that at the moment didn't fit.,shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2301,"When my niece was 3 years old she was in the living room while we á
were fixing the table for a birthday party and, as every child, á
she couldn't stay calm. She burst a balloon. When I told her to á
be quiet her father pinched her. I believe if I hadn't said anything á
this wouldn't have happened.",guilt,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2302,"I was in ILHA GRANDE with a wonderful sun, with wonderful people, á
with a wonderful sea, with a wonderful boy.",joy,1,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2303,"When I was looking for a job I felt a lot of fear but the fear á
was greater when I found it.",fear,0,0,0,2,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2304,"This feeling occurred to me when my colleague entered in G.V. á
(University) and I didn't.",anger,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2305,"When I applied for the college entrance examination to FUVEST, á
and I wasn't approved in the second fase.",sadness,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306,"I had this feeling when I met a girl, not that she was dirty but á
she was to ""fresh"", dump and childish.",disgust,2,0,1,1,1,1,0,0.6842105263157895,0.0,0.0,0.0,0.3157894736842105,0.0,0.0
2307,"I was very fat, and was ashamed of my body.",shame,2,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2308,"When my ex-boyfriend didn't want to sleep with me anymore and I á
insisted. We made love but he felt very badly and I felt guilty.",guilt,0,0,2,1,0,1,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2309,"I felt happy when my mother borrowed me the car in order to let á
me go out alone for the first time.",joy,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2310,"I felt afraid when I smoked maryhuana for the first time in my á
life with a lot of friends in the middle of the street at day á
brake.",fear,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2311,"I felt anger when I had a fight with my father, and he beated me. á
My mother came to help me (because I was beeing beated) and he á
also beated my mother.",anger,0,0,2,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2312,"It happened when I lost two very intimate friends in a car á
accident.",sadness,0,0,2,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2313,I felt disgust of my father when I knew he had a lover.,disgust,1,0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2314,When my mother found out that I smoke maryhuana.,shame,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2315,"I felt guilty when I ""stole"" the boyfriend of a friend of mine.",guilt,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2316,Always when I am well succeded.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2317,When there is danger nearby.,fear,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2318,I feel anger when things don't come out as I wish.,anger,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2319,When I couldn't go for a trip with my friends in a holiday.,sadness,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2320,Disgust of drunkers and of blood.,disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2321,Shame of being reprehended.,shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2322,When I shout at a colleague in classroom.,guilt,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2323,"When there was a possibility of getting on better in professional á
life. I valorized very much this aspect. People showed me this á
possibility, not the real fact (even because until now ...)",joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2324,"When I was curious about it and went to a spiritism session with a á
friend. I had already been there other times (many times when I á
was younger) but that day, even if I don't believe in á
spiritism I was terribly afraid that something would happen to me á
(sort of incorporation !).",fear,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2325,"When they denied a job to a person that I propsed giving political á
reasons that has nothing to do directly with the professional á
level.",anger,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2326,"During an informal talk with a friend when we talk about the life á
of another person, a common friend, that is in a situation of not á
being able to assume certain problems that he decided to solve, á
that is, she herself suggested the problems and decided to solve á
them but didn't get it until the moment.",sadness,0,0,0,0,0,2,0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0
2327,"When my friends and I were camping in a weekend, and with little á
food, we met a middle age couple from a small town that invited á
us to eat in their house. Their house was small, badly built with á
old and dirty forniture and utensils. The problem was with pans, á
and dishes, and even the food.",disgust,1,0,2,0,1,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2328,"When I went to meet the family of my boyfriend in a party in his á
house. His mother was eager to know me and all his friends ready á
to make jokes about the situation.",shame,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2329,"When I met another person I began to go out with him, and my á
boyfriend (with marriage accorded) met us together he did a great á
scandal, he broke the engagement and I began to go out with the á
other, and it didn't work because my mind was all mixed up.",guilt,0,0,1,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2330,When I got a wedding ring of diamond from the boy I loved.,joy,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2331,"Afraid of getting alone without friends, without anybody.",fear,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2332,When they stole my dark blue tennis.,anger,0,0,2,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2333,"When I became conscious that men don't wnat anything they don't á
have a goal. They have: sex, but this isn't important.",sadness,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2334,"When I went in a clinical hospital and saw in what conditions á
people are attended there.",disgust,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2335,"In the last day of carnaval I met a boy and began to flirt with á
him. I was in love with him. When he introduced me to his friends á
I died of shame because I was with them before, I met my á
boyfriend in carnaval.",shame,2,0,1,0,1,2,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2336,"When I didn't pass the examinations for FUVEST I felt myself á
guilty for I should have studied. I had the opportunities, and á
I drew them out.",guilt,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2337,"When I met again a great friend and talked a little while with á
him. When I see again another I miss.",joy,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2338,"I feel afraid of the way a great friend looks at me, and also a á
little afraid of the directions that it's going.",fear,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2339,"I felt anger of a friend when she met ""a date"" and become nervous á
and pest as she always gets when she meets him.",anger,1,0,0,2,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2340,"When I knew almost the same day about two great friends of mine á
that had serious existential crisis, and mainly when I notice á
that I'm in the same situation that they are, but I didn't á
realize it.",sadness,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2341,"When some friends and I get acquainted a guy during vacations I á
thought he was disgusted and ""a friend"" of mine for whom I feel a á
little disgust wanted to stay with him.",disgust,1,0,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2342,"I felt shame when I had to talk with a person that I hadn't seen for á
many years. Shame that he wouldn't recognize me or that I á
wouldn't know what to say.",shame,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2343,"When I wished secretly and lied to a friend of mine because I á
didn't want her to stay in my house on the beach (as she always á
does), and wouldn't stick on me.",guilt,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2344,When I entered University.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2345,"I have been afraid several times. What marked me was that I á
almost didn't enter University.",fear,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2346,"I'm crazy about football. When my team lost a goal in the Paulist á
championship, and so it lost the classifications.",anger,0,0,3,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2347,"When my grandmother, my second mother died.",sadness,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2348,When a girl that I liked didn't accept my curting.,disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2349,When I had my first sexual relation and it didn't work.,shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2350,"When my father had a serious fight with my sister, because of me.",guilt,0,0,0,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2351,"When I met a girl and asked her for a date and she agreed, (I á
thought this girl would never like me), this was an emotion of á
joy.",joy,0,0,0,0,0,1,0,0.0,0.0,0.0,0.5384615384615384,0.0,0.46153846153846156,0.0
2352,"The same fact about the girl (22 years, married - guilt - á
disgust), the fear was the main factor in our relationship.",fear,2,0,2,2,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2353,"About the car (sadness) I felt anger the way I acted after á
negotiating it.",anger,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2354,To buy a car and didn't like the business and the car.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2355,"I met a girl (22 years old), married. I liked her. I asked her á
for a date and I kissed her. I discovered that she lived nearby á
where I passed every day. I got amused thinking that her husband á
would be ... or me . I didn't talked to her anymore.",disgust,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2356,"When my mother looked in my drawer (where I keep my personal á
things) and she found some porno photos that I have kept from á
more than a week, and split it.",shame,0,0,1,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2357,"About the girl (22 years, married) I felt guilty of the á
relationship.",guilt,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2358,"I felt joy when I red my name in the list of the approved in the á
entrance college examination.",joy,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2359,"I was visiting my parents in law when the house was invaded by á
three strange men, and they committed an armed assault.",fear,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2360,"Nearby the end of the year my wife and I were having a car ride, á
when it appears another vehicle, driven by a drunk driver and á
provokes an accident.",anger,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2361,"To have a friend who I didn't see for months, and under the á
circumstances that I met him made me feel happy, and perhaps á
because it has been one of the good things that I learned with á
this friend.",joy,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2362,"When I left a carnaval ball at 4 o'clock a.m. I was alone in a á
foreign city and I had to go back home, when a guy appeared and á
tried to ""catch me"".",fear,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2363,"The fact that I hadn't been informed about something and I had the á
greatest trust in this person.",anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2364,"A friend of mine lent me his apartment for holidays and besides á
this he was a fine person. Months later I knew that he died á
tragically in a moto accident. He was very young, and I felt sad á
and couldn't believe it (until today).",sadness,0,0,1,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2365,"In contact with a poor family of northeast it was offered to me a á
crab to eat at my request. But the fact that this crab was á
prepared antihygienically and his appearence was also á
antihygienically it caused me disgust but I ate it anyway.",disgust,1,0,1,1,1,0,0,0.375,0.0,0.625,0.0,0.0,0.0,0.0
2366,"It was my birthday and all the members of the group made me a á
surprise in a public place at 10 p.m. giving me flowers and suvenirs.",shame,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2367,"Attending to a demand made by a client (I work in a bank) I á
suggested her an application of money in a week ahead, but I á
informed her wrongly. The client arrived a week after and the á
application wasn't made and she lost with this a lot of time and á
money.",guilt,0,0,2,4,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2368,"When, after a long time of searching I got my first job.",joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2369,"After some time of work I was transferred to another place and in á
an other quite harder job.",fear,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2370,"When I used to go to my chief asking about any doubt about the job á
and he didn't care, didn't answer me, leaving me speaking alone.",anger,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2371,"When I knew that a person that I liked very much didn't react the á
way I would like to, even that I knew about his feelings for me.",sadness,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2372,"When I knew that a person who I didn't like, had about me other á
feelings.",disgust,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2373,"After lot of explanation, to fail in my work.",shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2374,"My brother and I were at home watching a TV program when I á
started to tease  him and in this joke I hurt him without á
knowing the seriousness of it I went on. He got angry and gave it á
back to me. At this moment I felt anger at him but knowing that á
it was my fault.",guilt,1,0,4,4,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2375,When a person that I like very much got near to me.,joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2376,"I was at home alone, and heard noises on the roof, and doorknobs, á
and drawers.",fear,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2377,"When a person is privileged in account of situations that are á
unjust, and disloyal to colleagues and friends.",anger,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2378,"When I was betrayed by a friend, and decided to stay apart form á
her.",sadness,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2379,"After a serie of facts that occurred between a colleague and me I á
started to feel a certain necessity to get apart and I didn't want á
to see her anymore.",disgust,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2380,"I went to study in a public library but I didn't know it well. I á
got a book and wanted to study hearing music. Then I went to a á
place were I could do it, but when I passed by a door a bell rang á
and a man came saying that I couldn't leave with the book.",shame,0,0,2,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2381,"I broke the gutar of a colleague but as it happened in a moment á
when nobody was present I could escape from the guilt.",guilt,1,0,2,0,2,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2382,"I made the college entrance examinations for P.U.C. It was what I á
wanted more. When the first list came out I got frustrated. I á
wasn't in. When the second list came out without hopes I started á
to read the newspaper and my name was thre. I was in the bus and á
felt like crying so that everybody could hear me. The cry was hold, á
and 1982 became forever a mask in my life.",joy,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2383,"I remember when I was a child of a storm that made me terribly á
afraid. I thought that the house was coming down and that in the á
next day I would be dead. Everybody was awake and I stayed all á
night in bed without falling asleep.",fear,0,0,2,1,1,1,0,0.0,0.0,0.8409090909090909,0.1590909090909091,0.0,0.0,0.0
2384,"Once in my work it happened a fight between the person in charge and me. I á
got so angry and spoke out everything I felt at the moment.",anger,1,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2385,"I remember the day my father died. I was 11 years old and my á
sadness was so great that until today I remember everything á
about that day, from the clothes I was wearing to the reactions of people, á
the despair of my mother and brother. It marked me a lot and was á
the greatest sadness I felt.",sadness,1,0,4,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2386,"I was sitting in school, waiting for my sister to go home. Suddenly a á
boy put fire in a paper and threw it were I was sitting. The á
paper didn't get me, but I felt terribly disgusted at this á
cowardliness and irresponsibility that caused a great á
discussion. We went to the director and he, drunk as always, said á
that I was ... attention in school. I felt disgust of this á
situation, and of the persons implicated in it.",disgust,2,0,2,1,2,0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2387,"Some times I was ashamed of presenting seminaries or even to á
speak in class.",shame,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2388,"In adolescence I had a very violent fight with my sister I hold á
her stong in her neck, she had a throat surgery what make me feel á
guilty about the future reactions she might had injuring the á
surgery.",guilt,1,0,3,3,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2389,"The day I received the key of my apartment and we could enter in á
it, for my fiancT and I had bought it yet in plans, and it seemed á
to us that this was almost impossible to happen.",joy,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2390,"I had a driver licence but I didn't drive for a long time, than I á
started to drive again, and had to get into hard transit and á
highways.",fear,0,0,0,0,0,0,0,0.0,0.0,0.76,0.24,0.0,0.0,0.0
2391,"When my boss cut off my vacations saying that in that month it á
wouldn't be possible, and after some time he let another girl á
take vacations that month. The anger was because of the á
resentment. Resulting from our bad relationship.",anger,2,0,2,3,1,0,0,0.5405405405405406,0.0,0.4594594594594595,0.0,0.0,0.0,0.0
2392,"My fiancT's family was adopting a 5 years old boy. I felt á
myself close to him as I never felt before. After some time his á
mother demanded the care of the kid and we were obliged to send á
him back.",sadness,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2393,"There is a girl at my work that doesn't take care much of her á
hygiene she comes always with her hair oiled, a not very agreable á
smell, and a bad appearance. Beside this she tries to be nice.",disgust,2,0,1,2,1,0,0,0.4166666666666667,0.0,0.3541666666666667,0.0,0.22916666666666666,0.0,0.0
2394,"A day I was with my boyfriend and a couple of friends in a bar, á
and he said something that I didn't like (I don't remember what). á
Without thinking I slept him in his back, getting ashamed and á
sorry just after.",shame,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2395,"When I was starting in romance with my husband, we went out to á
curt, and we stayed in the car ""making love"". At the time I was á
seventeen and I was very immature until a day I lost my á
virginity.",guilt,0,0,2,0,1,2,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2396,"It was when a friend took me to a place and gave me as a gift my á
astrologycal map with the explanations of a psychologist.",joy,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2397,"When I was dreaming that I was being chased, in the upmost of á
horror the door of the closed felt down synchronicaly with the á
dream scare.",fear,1,0,1,2,2,0,0,0.0,0.0,0.6727272727272727,0.0,0.32727272727272727,0.0,0.0
2398,"When my mother slapped me in the face, I felt anger at that á
moment.",anger,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2399,"When I deeply felt that I could lose the person I love best á
because of my foolishness.",sadness,1,0,1,1,1,1,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2400,"I felt disgust toward meat when I felt sick with the steak after á
a week only on meat.",disgust,2,0,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2401,When I had to act alone a character for a public (40 people).,shame,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2402,"When I stared to much at a pastry that a woman was eating and at á
the same instant the pastry felt on the floor.",guilt,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403,"In a day when at work, in school, and relationships came out as I á
wanted, and I was recognized in my work.",joy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2404,"When I woke up in the middle of the night because of a dream, it á
wasn't a nightmare, it was an uninteligible dream in wich I woke á
because of a certain end.",fear,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2405,When I was robbed in a bus.,anger,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2406,When I try to get closer at a person and she misinterpreted me.,sadness,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2407,When I felt the smell of industries that pollute.,disgust,2,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
